module,scope,algorithm,setting,metric,value,result_status
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,AICc,6502.1475406716,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,AICc,6636.73494484234,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,AICc,6547.83897786248,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,AICc,6634.81285209603,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,AICc,6597.32343538808,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,delta.AICc,174.291334332158,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,delta.AICc,0,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,delta.AICc,174.327889750693,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,delta.AICc,23.8143653790075,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,delta.AICc,174.663730682562,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,delta.AICc,71.1655113421903,reproduced_adapted
